id, deviceId, email, gender, age,,,,
1,8fd2b58f10d32c86,user1@signature.com,M,22,,,,
2,8fd2b58f10d32c86,user2@signature.com,M,21,,,,
3,8fd2b58f10d32c86,user3@signature.com,M,24,,,,
4,8fd2b58f10d32c86,user4@signature.com,M,25,,,,
5,8fd2b58f10d32c86,user5@signature.com,M,21,,,,
6,8fd2b58f10d32c86,user6@signature.com,M,22,,,,
7,8fd2b58f10d32c86,user7@signature.com,M,21,,,,
8,8fd2b58f10d32c86,user8@signature.com,M,21,,,,
9,8fd2b58f10d32c86,user9@signature.com,M,21,,,,
10,8fd2b58f10d32c86,user10@signature.com,M,21,,,,
11,8fd2b58f10d32c86,user11@signature.com,F,21,,,,
12,8fd2b58f10d32c86,user12@signature.com,M,22,,,,
13,8fd2b58f10d32c86,user13@signature.com,M,22,,,,
14,8fd2b58f10d32c86,user14@signature.com,F,21,,,,
15,8fd2b58f10d32c86,user15@signature.com,F,21,,,,
16,8fd2b58f10d32c86,user16@signature.com,F,25,,,,
17,8fd2b58f10d32c86,user17@signature.com,F,21,,,,
18,8fd2b58f10d32c86,user18@signature.com,F,22,,,,
19,8fd2b58f10d32c86,user19@signature.com,M,22,,,,
20,8fd2b58f10d32c86,user20@signature.com,M,21,,,,
21,8fd2b58f10d32c86,user21@signature.com,F,28,,,,
22,8fd2b58f10d32c86,user22@signature.com,F,21,,,,
23,8fd2b58f10d32c86,user23@signature.com,M,21,,,,
24,8fd2b58f10d32c86,user24@signature.com,M,21,,,,
25,8fd2b58f10d32c86,user25@signature.com,M,21,,,,
26,8fd2b58f10d32c86,user26@signature.com,M,21,,,,
27,8fd2b58f10d32c86,user27@signature.com,M,22,,,,
28,8fd2b58f10d32c86,user28@signature.com,F,36,,,,
29,8fd2b58f10d32c86,user29@signature.com,M,50,,,,
30,8fd2b58f10d32c86,user30@signature.com,F,53,,,,
31,8fd2b58f10d32c86,user31@signature.com,F,32,,,,
32,8fd2b58f10d32c86,user32@signature.com,F,21,,,,
33,8fd2b58f10d32c86,user33@signature.com,F,21,,,,
34,8fd2b58f10d32c86,user34@signature.com,M,21,,,,
35,8fd2b58f10d32c86,user35@signature.com,M,21,,,,
36,8fd2b58f10d32c86,user36@signature.com,M,22,,,,
37,8fd2b58f10d32c86,user37@signature.com,M,21,,,,
38,8fd2b58f10d32c86,user38@signature.com,M,21,,,,
39,8fd2b58f10d32c86,user39@signature.com,M,21,,,,
40,8fd2b58f10d32c86,user40@signature.com,M,21,,,,
41,8fd2b58f10d32c86,user41@signature.com,F,21,,,,
42,8fd2b58f10d32c86,user42@signature.com,F,21,,,,
43,8fd2b58f10d32c86,user43@signature.com,F,21,,,,
44,8fd2b58f10d32c86,user44@signature.com,M,21,,,,
45,8fd2b58f10d32c86,user45@signature.com,M,21,,,,
46,8fd2b58f10d32c86,user46@signature.com,M,21,,,,
47,8fd2b58f10d32c86,user47@signature.com,M,21,,,,
48,8fd2b58f10d32c86,user48@signature.com,M,21,,,,
49,8fd2b58f10d32c86,user49@signature.com,F,23,,,,
50,8fd2b58f10d32c86,user50@signature.com,F,23,,,,
51,8fd2b58f10d32c86,user51@signature.com,F,51,,,,
52,8fd2b58f10d32c86,user52@signature.com,F,56,,,,
53,8fd2b58f10d32c86,user53@signature.com,F,34,,,,
54,8fd2b58f10d32c86,user54@signature.com,F,36,,,,
55,8fd2b58f10d32c86,user55@signature.com,F,78,,,,
56,8fd2b58f10d32c86,user56@signature.com,F,22,,,,
57,8fd2b58f10d32c86,user57@signature.com,M,36,,,,
58,8fd2b58f10d32c86,user58@signature.com,M,47,,,,
59,8fd2b58f10d32c86,user59@signature.com,M,23,,,,
60,8fd2b58f10d32c86,user60@signature.com,F,48,,,,
61,6f120fc8306173d2,user61@signature.com,F,24,,,,
62,6f120fc8306173d2,user62@signature.com,M,25,,,,
63,6f120fc8306173d2,user63@signature.com,F,24,,,,
64,6f120fc8306173d2,user64@signature.com,M,24,,,,
65,6f120fc8306173d2,user65@signature.com,M,24,,,,
66,6f120fc8306173d2,user66@signature.com,M,26,,,,
67,6f120fc8306173d2,user67@signature.com,F,27,,,,
68,6f120fc8306173d2,user68@signature.com,M,22,,,,
69,6f120fc8306173d2,user69@signature.com,M,27,,,,
70,6f120fc8306173d2,user70@signature.com,M,26,,,,
71,6f120fc8306173d2,user71@signature.com,M,26,,,,
72,6f120fc8306173d2,user72@signature.com,M,24,,,,
73,6f120fc8306173d2,user73@signature.com,M,23,,,,
74,6f120fc8306173d2,user74@signature.com,F,23,,,,
75,6f120fc8306173d2,user75@signature.com,M,23,,,,
76,6f120fc8306173d2,user76@signature.com,M,24,,,,
77,6f120fc8306173d2,user77@signature.com,F,25,,,,
78,6f120fc8306173d2,user78@signature.com,M,27,,,,
79,6f120fc8306173d2,user79@signature.com,F,22,,,,
80,6f120fc8306173d2,user80@signature.com,F,24,,,,
81,6f120fc8306173d2,user81@signature.com,F,23,,,,
82,6f120fc8306173d2,user82@signature.com,F,25,,,,
83,6f120fc8306173d2,user83@signature.com,M,25,,,,
,,,,,,,,
Male,49,,mean,26.03614458,,<=25,64,
Female,34,,std,9.841978017,,<=40,76,12
,,,,,,>40,7,
